bcookie,timestamp,ST_act_d1,ST_act_d2,ST_act_d3,ST_act_d4,ST_act_d5,ST_act_d6,ST_act_d7,ST_dwelltime_d1,ST_dwelltime_d2,ST_dwelltime_d3,ST_dwelltime_d4,ST_dwelltime_d5,ST_dwelltime_d6,ST_dwelltime_d7,ST_num_sessions_d1,ST_num_sessions_d2,ST_num_sessions_d3,ST_num_sessions_d4,ST_num_sessions_d5,ST_num_sessions_d6,ST_num_sessions_d7,ST_pageviews_d1,ST_pageviews_d2,ST_pageviews_d3,ST_pageviews_d4,ST_pageviews_d5,ST_pageviews_d6,ST_pageviews_d7,ST_cliks_d1,ST_cliks_d2,ST_cliks_d3,ST_cliks_d4,ST_cliks_d5,ST_cliks_d6,ST_cliks_d7,cluster
00mvmfl9c0i1l,1401790644,1,0,0,0,1,0,0,264,0,0,0,46,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,engaged
00plmvp9drci1,1402103973,1,1,0,1,0,1,1,164,345,0,1539,0,760,1074,1,1,0,3,0,2,2,2,2,0,12,0,5,4,4,3,0,67,0,11,4,engaged
00q3h3d9j8tqc,1401687194,1,0,0,0,0,0,0,425,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,engaged
00s23rt9o7uhi,1402140773,1,0,0,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,engaged
00s26v59mnvqb,1402141822,1,0,0,0,0,0,0,114,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,engaged
00vcv2985abtm,1401919057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,churned
010li8t9nheod,1401748312,1,1,0,1,0,0,1,0,499,0,1594,0,0,51,1,1,0,2,0,0,1,1,2,0,5,0,0,1,5,1,0,0,0,0,0,engaged
012ra258edtvo,1401892879,1,1,1,0,0,0,0,992,885,2809,0,0,0,0,1,1,0,0,0,0,0,2,4,3,0,0,0,0,3,6,2,0,0,0,0,engaged
016rbo99nietn,1401832474,1,0,0,0,1,0,0,61,0,0,0,156,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,engaged
01bbvvd8h6069,1401813843,1,0,0,0,0,0,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,churned
01bde499a04qc,1402160308,1,1,0,0,1,0,1,123,330,0,0,207,0,245,1,1,0,0,1,0,2,1,1,0,0,2,0,2,2,2,0,0,2,0,5,engaged
01bhda18i4p3d,1402242967,1,0,0,0,0,0,0,561,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,engaged
01bl48t9lffhk,1401939516,1,1,0,1,0,1,1,5,1416,0,728,0,0,588,2,3,0,2,0,1,1,2,3,0,3,0,1,4,1,0,6,0,0,0,0,engaged
01gragh9gflof,1401758628,1,0,0,1,0,0,0,163,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,engaged
01nfbrl8i9o6a,1402017364,1,0,0,0,0,0,0,598,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,engaged
01r14ah6jblg6,1401741970,1,0,0,0,0,0,0,110,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
01rg6m59otp0n,1402040722,1,0,0,0,0,0,0,750,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,churned
01uhhid9cjfco,1401879082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,engaged
02304jl9f3067,1401815371,1,0,0,1,0,1,0,332,0,0,409,0,397,0,2,0,0,1,0,2,0,2,0,0,2,0,3,0,2,0,0,2,0,3,0,engaged
023ajgd8o558d,1401736039,1,0,0,0,0,0,0,278,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,engaged
024ijjp8481j8,1402058671,1,0,0,0,0,1,1,1258,0,0,0,0,324,639,1,0,0,0,0,1,1,3,0,0,0,0,2,2,15,0,0,0,0,2,3,engaged
0254r719lds60,1402140809,1,0,0,0,0,0,0,48,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
0264n3d998uo5,1401758195,1,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,churned
026sl3t9gvdm8,1401800527,1,0,0,0,0,0,0,708,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,engaged
027828992plim,1402261685,1,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
027eiqh7a9rrg,1401771169,1,1,0,0,1,0,1,2587,3244,0,0,142,0,1737,2,3,0,0,1,0,1,3,2,0,0,1,0,1,13,1,0,0,1,0,0,engaged
029tls99884m6,1401723425,1,0,1,0,0,0,0,439,0,204,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,engaged
02cdl2h98hpqo,1401841790,1,1,1,1,1,1,0,2283,719,270,1204,1970,3063,0,1,1,1,1,1,1,0,6,1,1,4,4,7,0,42,60,34,59,8,33,0,engaged
02ddg6d9jte79,1401705388,1,1,1,1,1,1,1,0,542,214,565,26,201,357,1,2,2,1,1,1,2,1,3,2,1,1,1,3,5,0,1,0,0,1,0,engaged
02g6lup8dfhbk,1402189427,1,0,1,0,0,0,1,96,0,284,0,0,0,792,1,0,1,0,0,0,2,1,0,1,0,0,0,2,1,0,1,0,0,0,3,engaged
02go8n99hkjic,1401987047,1,1,0,0,1,1,1,135,461,0,0,96,298,98,1,2,0,0,1,2,1,1,2,0,0,1,2,1,1,7,0,0,4,5,1,engaged
02h0ml18tm66p,1401977501,1,1,0,1,1,1,0,142,174,0,246,985,53,0,1,1,0,1,2,1,0,2,1,0,1,4,1,0,1,0,0,0,3,1,0,engaged
02o3lad9fvdpv,1401911660,1,0,0,1,0,0,0,188,0,0,540,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,engaged
02pgsth9guvma,1402157349,1,0,1,0,1,1,1,380,0,777,0,847,86,82,2,0,1,0,1,1,1,3,0,2,0,2,1,1,2,0,12,0,0,1,1,engaged
02ph7lt9ls7k5,1401708388,1,0,0,0,0,0,0,273,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,churned
02q1gpt9p38sa,1402260108,1,1,0,0,0,0,0,337,262,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,engaged
02r9in59oias4,1402232097,1,1,0,1,1,0,1,509,380,0,76,218,0,1479,3,3,0,1,1,0,2,3,4,0,1,3,0,6,3,0,0,3,0,13,0,engaged
030mscp95lvif,1401823889,1,0,0,0,0,0,0,79,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,engaged
03140gt9oriq5,1401911330,1,0,0,0,0,0,0,670,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,engaged
034dso998ctlk,1402189224,1,0,0,0,0,0,1,9,0,0,0,0,0,884,1,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0,0,4,engaged
03921vd9l3o17,1402008534,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,engaged
03am45p9fanp6,1401841803,1,0,0,0,0,0,0,2490,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,churned
03am4l16hckq2,1401673173,1,0,0,0,0,0,0,1059,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,churned
03ebfg1801bs3,1401679923,1,0,0,0,0,1,0,0,0,0,0,0,323,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,engaged
03g3ift9cbrbd,1401996156,1,0,0,0,0,0,0,250,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,engaged
03i8vmp7tu6ag,1401787422,1,0,0,0,1,0,1,609,0,0,0,293,0,103,1,0,0,0,1,0,1,3,0,0,0,1,0,1,6,0,0,0,2,0,2,engaged
03ibqv58tb0v2,1401813619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,churned
03k4qup8tjr3i,1401768289,1,1,0,0,0,0,0,473,696,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,11,4,0,0,0,0,0,engaged
03kdkg59p5rej,1402232096,1,0,0,0,0,0,0,581,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,churned
03kljh567ofpa,1401791440,1,1,0,0,0,0,0,110,155,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,engaged
03km1ap9dgidv,1401963580,1,0,0,0,0,0,0,755,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,engaged
03ms7ut9p6hs6,1402169658,1,1,1,1,0,1,1,969,308,633,26,0,59,1235,4,2,1,1,0,2,4,12,7,7,2,0,3,14,28,14,3,1,0,1,34,engaged
03opn9d9aup4i,1402000297,1,0,0,0,0,0,0,189,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,churned
03p1icl9o7h04,1402259266,1,0,0,0,0,0,0,394,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,churned
03p8foh9m766m,1402085782,1,0,0,1,1,0,0,1118,0,0,0,99,0,0,1,0,0,1,1,0,0,3,0,0,1,1,0,0,3,0,0,1,0,0,0,churned
03rtkml9a6mr2,1401979651,1,1,0,0,0,1,0,23,59,0,0,0,485,0,1,1,0,0,0,1,0,1,1,0,0,0,4,0,1,0,0,0,0,2,0,engaged
03thsl58q202s,1401822848,1,0,0,0,0,0,1,37,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,5,0,0,0,0,0,0,engaged
04270ad96rfau,1402177966,1,0,1,0,0,0,1,82,0,42,0,0,0,326,1,0,1,0,0,0,1,1,0,1,0,0,0,2,1,0,1,0,0,0,2,engaged
04694gd9on0lh,1401705332,1,1,1,1,1,1,1,2281,714,2038,5076,3292,2757,1155,3,4,3,4,5,6,3,9,7,7,10,10,13,4,15,10,10,19,23,25,9,engaged
048hbs99c8r9k,1401901206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,engaged
04b41fp9d6183,1401827552,1,0,0,1,0,0,1,182,0,0,54,0,0,139,3,0,0,1,0,0,1,3,0,0,1,0,0,1,1,0,0,0,0,0,1,engaged
04c0eqt8fokg4,1402249956,1,0,0,0,0,0,0,63,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
04fro2l92nmlg,1402255833,1,0,0,0,0,0,0,915,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,churned
04heu318hl7o7,1401741002,1,0,0,0,1,0,0,106,0,0,0,53,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,engaged
04i321t9o7qa7,1401842571,1,0,1,0,0,1,0,105,0,96,0,0,131,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,engaged
04io2g99l311d,1402201212,1,0,1,1,1,1,1,1292,0,343,1688,4,592,292,3,0,1,2,1,2,2,5,0,1,2,1,4,2,3,2,1,0,3,0,1,engaged
04iqpjd96ijgk,1401673703,1,1,1,1,1,1,1,605,2805,305,1754,659,593,105,2,1,3,2,1,2,1,2,7,3,8,3,4,1,2,7,3,11,2,4,1,engaged
04jp8n59km98h,1401754862,1,0,1,1,1,1,0,2990,0,10,1678,343,64,0,2,0,2,1,2,3,0,6,0,1,3,6,4,0,2,7,1,0,0,0,0,engaged
04jqgad9o19lf,1402225347,1,0,0,0,0,0,0,233,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,churned
04l26l59nc804,1402071629,1,0,0,1,0,0,0,571,0,0,80,0,0,0,1,0,0,1,0,0,0,8,0,0,2,0,0,0,6,0,0,2,0,0,0,engaged
04m5jll9jdngd,1401914832,1,0,0,0,0,0,0,175,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,churned
04nccil9dgcmo,1402095718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,churned
04p1gfl9m4d39,1401758913,1,0,0,0,0,0,0,84,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
04phf059jmmth,1401861594,1,0,0,0,0,0,0,189,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
04tf20t96fjsm,1401982552,1,0,0,0,1,1,0,572,0,0,0,799,1169,0,2,0,0,0,2,1,0,3,0,0,0,4,4,0,9,0,0,13,33,0,0,engaged
04tg23h9k0a1t,1401892614,1,0,0,0,1,0,1,0,0,0,0,102,0,40,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,engaged
04uv4uh9m0jh6,1401972455,1,0,0,0,0,1,0,47,0,0,0,0,71,0,2,0,0,0,0,2,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,engaged
0500b896r0f6v,1401993506,1,1,0,1,0,0,1,74,61,0,114,0,0,200,1,1,0,1,0,0,2,1,1,0,1,0,0,2,1,1,0,1,0,0,3,engaged
054stml9d8iah,1401810183,1,0,0,0,0,1,1,104,0,0,0,0,926,0,1,0,0,0,0,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,engaged
0564rtl9m0lvq,1401756708,1,0,0,0,0,1,0,222,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,engaged
05c7t719igjou,1402204707,1,1,1,1,1,0,1,1011,27,5,1069,690,0,187,1,1,1,1,2,0,1,8,1,1,4,5,0,2,16,1,1,4,5,0,2,engaged
05chu3t7cccrc,1401830768,1,1,1,1,0,0,1,62,109,349,6,0,0,314,1,2,2,1,0,0,2,1,1,3,1,0,0,3,2,7,0,0,0,3,0,engaged
05dbe9l95kcpi,1402074578,1,1,0,0,0,0,0,233,680,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,engaged
05fo2mh9l4sg5,1401841001,1,0,0,0,1,0,1,128,0,0,0,35,0,117,1,0,0,0,2,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,engaged
05frp0d9n7tt5,1401956591,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,churned
05g7kst8jaj3u,1401743995,1,0,0,0,0,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,engaged
05ikplp98s0tu,1401776087,1,0,1,1,1,1,1,766,0,572,18,111,111,105,1,0,1,1,1,1,1,3,0,2,1,1,1,1,3,0,2,1,1,2,1,engaged
05mkslp9ml2pr,1401977275,1,0,0,0,0,0,0,69,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,engaged
05oh92h7lvecv,1401806572,1,0,0,0,1,0,0,502,0,0,0,494,0,0,1,0,0,0,1,0,0,5,0,0,0,4,0,0,6,0,0,0,6,0,0,churned
05q0aq99aibtt,1402023448,1,1,1,1,1,0,1,584,2509,2715,88,1460,0,3013,2,2,5,1,2,0,3,4,8,7,1,3,0,8,11,36,23,0,21,0,21,engaged
05sisop9aee36,1401894016,1,1,0,1,1,1,0,94,28,0,1558,201,138,0,1,1,0,1,2,2,0,1,1,0,2,2,2,0,10,3,0,0,0,0,0,engaged
05vc91d8gk6vn,1401684883,1,0,0,1,0,0,0,122,0,0,150,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,4,0,1,0,0,0,0,engaged
062bqg99l8put,1401693513,1,1,0,0,0,0,0,0,90,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,12,0,0,0,0,0,0,churned
064lrh99ji1dm,1401762459,1,0,0,1,0,0,0,278,0,0,963,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,churned
067g5ul97go6l,1401836637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,churned
067k2l99n3000,1401923068,1,0,0,0,0,1,0,436,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,churned
0683dlp9b9gru,1401904737,1,0,0,0,1,0,0,153,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
06b33b99jlv43,1402015021,1,0,0,0,0,0,1,301,0,0,0,0,0,1207,2,0,0,0,0,0,1,2,0,0,0,0,0,3,3,0,0,0,0,0,7,churned
06dbt7p9mti0e,1401746174,1,0,0,0,0,0,1,0,0,0,0,0,0,177,1,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,engaged
06dndo19j0b8r,1402174104,1,0,0,0,0,1,1,19,0,0,0,0,1043,1911,1,0,0,0,0,1,1,1,0,0,0,0,3,5,1,0,0,0,0,0,0,engaged
06i2lah9fdk4t,1401741074,1,1,0,0,1,0,1,47,266,0,0,186,0,29,1,2,0,0,1,0,1,1,4,0,0,1,0,1,2,6,0,0,1,0,0,engaged
06lrmqd9e75eo,1401906766,1,0,0,0,0,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
06ltphp9oeov3,1401766417,1,0,0,0,0,0,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,engaged
06mom8p9a2neq,1401798239,1,1,1,1,1,0,1,0,373,0,930,147,0,43,1,2,1,1,1,0,1,1,4,1,2,2,0,1,0,0,0,0,0,0,0,engaged
06rj2859b1dai,1402056518,1,0,0,0,0,0,1,453,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,engaged
06rrb699mj1du,1401760405,1,0,0,1,1,0,1,545,0,0,1792,1298,0,1477,1,0,0,2,1,0,2,2,0,0,3,4,0,4,3,0,0,1,0,0,5,engaged
070pj5972gkjt,1401837011,1,0,0,0,0,0,0,219,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,churned
072r5hl9iljt1,1401758815,1,0,0,0,1,0,0,49,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,churned
0730qfp96g6kb,1401724746,1,1,1,1,1,0,0,790,2085,501,373,328,0,0,5,5,5,7,3,0,0,11,6,14,11,7,0,0,16,36,9,10,6,0,0,engaged
073sr5p92crr1,1401700335,1,1,0,1,1,0,0,52,239,0,117,0,0,0,1,2,0,2,1,0,0,1,3,0,2,1,0,0,8,2,0,4,0,0,0,engaged
074g5fh75nrme,1401725592,1,0,0,0,0,0,1,0,0,0,0,0,0,743,1,0,0,0,0,0,2,1,0,0,0,0,0,2,9,0,0,0,0,0,0,engaged
075c3dp8ulq5r,1402145880,1,0,0,1,1,1,0,939,0,0,1116,1963,2337,0,1,0,0,1,0,1,0,1,0,0,4,1,5,0,7,0,0,5,1,13,0,engaged
0764vkh9nuki3,1402036962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,churned
077gqed6vr7jo,1402075683,1,0,0,0,0,1,0,168,0,0,0,0,131,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,engaged
079defh9ocepj,1401746884,1,1,0,1,0,1,0,1039,47,0,1539,0,78,0,2,1,0,1,0,2,0,5,1,0,2,0,2,0,15,1,0,9,0,4,0,engaged
079om059ncdme,1402264241,1,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,engaged
07dshnp97obqm,1401704391,1,0,0,0,0,0,1,474,0,0,0,0,0,907,1,0,0,0,0,0,2,4,0,0,0,0,0,3,1,0,0,0,0,0,0,engaged
07eiin99d07a9,1402007618,1,0,0,0,0,0,0,389,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,churned
07f2ehh9irvk5,1401734715,1,1,1,1,1,1,1,880,1446,1082,3459,2644,108,113,8,1,1,3,3,1,1,10,3,3,6,6,1,1,11,0,1,14,1,0,1,engaged
07fbmut7hgp7p,1402067830,1,0,0,0,1,0,0,17,0,0,0,53,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,engaged
07gdu0d9dv87b,1401819447,1,0,0,0,0,0,0,93,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,churned
07gsut56dgo9i,1402133022,1,0,0,0,0,0,0,99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,churned
07hdfcl91ika8,1402088019,1,0,0,0,0,0,0,121,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
07irt6t88vhpk,1401922150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,engaged
07jo8n180bai8,1402086239,1,0,0,0,0,0,0,1179,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,churned
07kb7n58vtdv7,1401704250,1,1,1,1,0,0,1,0,622,622,0,0,0,508,1,2,1,1,0,0,1,1,4,2,1,0,0,2,2,0,0,0,0,0,0,engaged
07lkfph9obsbb,1401718272,1,0,1,0,0,1,0,4486,0,248,0,0,0,0,2,0,2,0,0,1,0,8,0,1,0,0,1,0,36,0,2,0,0,0,0,engaged
07mi6o5977mgn,1401755122,1,1,0,1,1,0,1,3441,1579,0,1151,265,0,856,1,1,0,1,1,0,1,4,3,0,2,2,0,2,7,4,0,2,2,0,5,engaged
07mj6ld9ommop,1401833404,1,0,0,1,0,1,0,0,0,0,991,0,413,0,1,0,0,1,0,2,0,1,0,0,2,0,3,0,1,0,0,0,0,0,0,engaged
